year,week,sl_no,state,district,disease,cases,deaths,report_week,date_reporting,remarks
2013,3,8.,Tamil Nadu,Kancheepura M,X Chikungunya ?,17.0,0.0,,16/01/13,"Cases of fever reported from Village/SC Pullalur, PHC Parandur, Block Walajabad, District Kancheepuram. District RRT investigated the outbreak. House to house survey done by para medical team. Cases treated locally. All 17 blood smears collected, tested negative for malaria. Out of 7 serum samples collected and sent to Chengalpattu Medical College, 1 sample was positive for Chikungunya. Anti-larval activities and fogging done in the affected area. IEC done."
2013,3,,,Karur,Xi Dengue,56.0,0.0,,13/01/13,"Outbreak of fever with headache reported from Village Mettupatti, SC Jallipatti, PHC Velliyanai, Block Thanthoni, District Karur. District RRT investigated the outbreak. House to house fever survey done by para medical team. Temporary medical camp organized in the locality. Cases treated symptomatically. Blood smears collected tested negative for malaria. Out of 5 serum samples collected and sent to ZET Trichy, 4 samples were positive for Dengue. Control measures undertaken. IEC done."
2013,3,,,Ramanathapur Am,Xii Fever,15.0,0.0,,17/01/13,"Cases reported from Village Orivayal, SC Maranthai PHC Melasirupothu, Block Kadaladi, District Ramanathapuram. District RRT investigated the outbreak. House to house fever survey done. Cases treated at local health centre. 12 blood smears and 15 serum samples collected and sent to IVCZ Hosur and MMC Maduarai, result awaited. Anti-larval activities and fogging done in the affected area. IEC done."
2013,3,,,Theni,Xiii Chickenpox,32.0,0.0,,17/01/13,"Outbreak of fever with vesicular rash reported from Village B.Dharmathupatti, SC B.Renganathapuram, PHC Sillamarathupatti, Block Bodi, District Theni. District RRT investigatated the outbreak. House to house fever survey done. Cases treated symptomatically. Health education given regarding isolation and early treatment of cases."
2013,3,,Tamil Nadu,,Xiv Chikungun Ya,45.0,0.0,,16/01/13,"Outbreak of fever with arthralgia and myalgia reported from Village Unnankulam, SC Shenbagaramanallur, PHC Moolakarapatti, Block Nanuneri, District Tirunelveli. District RRT investigated the outbreak. Active search for fever cases done. Cases treated symptomatically. 12 blood smears collected, tested negative for malaria. Out of 18 serum samples collected and sent to ZET Thirunelveli, 3 samples were positive for Chikungunya. Anti-larval activities and fogging done in the affected area. IEC done."
2013,3,1.,Bihar,Siwan,Xv Chickenpox,15.0,0.0,,08/01/13,"Cases of fever with rash reported from Village Phalduhiya, PHC/Block Hasanpura, District Siwan. Medical team investigated the outbreak. House to house fever survey done. Cases treated symptomatically. Most of the cases were below 15 years of age. IEC done regarding isolation of cases."
2013,3,2.,Karnataka,Bellary,Xvi Fever,62.0,0.0,,02/01/13,"Outbreak of fever with joint pain reported from Village Obleshettyhalli, PHC/CHC Hudem, District Bellary. District RRT investigated the outbreak. Active search for fever cases done. Cases treated at local health centre. All 62 blood smears examined, tested negative for malaria. 10 serum samples collected; result awaited. Entomological survey revealed; HI 21.2%, CI 23.9%, BI 53.2%. Anti-larval activities and Pyrethrum spray done. IEC done."
2013,3,,Andhra Pradesh,Mahabubnag Ar,Chikungunya,31.0,0.0,,,"It was mentioned in the weekly IDSP outbreak report of 2nd week (ending on 13th January 2013), 20 cases of fever were reported from Village/SC Amarachinta, PHC Thippadampally, Block Athmakur, District Mahabubnagar. From 14th to 20th January 2013, further 11 cases occurred. Out of total 4 serum samples collected and sent to Veterinary Biological Research Institute Hyderabad, 1 sample was positive for Chikungunya. Control measures undertaken. IEC done."
2013,4,,Through Integrated Disease Surveillance Project (Idsp),,Through Integrated Disease Surveillance Project (Idsp),,,,,
2013,4,,4Th Week (21 To 27 January) 2013,,4Th Week (21 To 27 January) 2013,,,,,
2013,4,1.,Bihar,Araria,I Chickenpox,16.0,0.0,,23/01/13,"Cases of fever with rash reported from Village Masunda (Ram Tola, Mandal Tola), PHC/Block Sikti, District Araria. Medical team investigated the outbreak. Cases treated symptomatically on house to house visit. Affected cases were children below 15 years of age. Health education given regarding isolation of cases and personal hygiene."
2013,4,,,Lakhisarai,Ii Chickenpox,17.0,0.0,,19/01/13,"Cases of fever with vesicular rash reported from Village Damodarpur, SC Pipra, PHC/Block Halsi, District Lakhisarai. District RRT investigated the outbreak. Symptomatic treatment given to cases. Most of the cases were below 14 years of age. Health education given regarding isolation of cases."
2013,4,,,,Iii Chickenpox,23.0,0.0,,21/01/13,"Cases of fever with vesicular rash reported from Village Sathna (Khuswaha Tola), SC Sathna, PHC/Block Halsi, District Lakhisarai. District RRT investigated the outbreak. Active search for fever cases done. Cases treated locally. Cases were below 15 years of age. Health education given."
2013,4,,,,Iv Chickenpox,18.0,0.0,,25/01/13,"Cases of fever with vesicular rash reported from Villages Nawabgarh (halwai tola), SC Chanpuraa, PHC/Block Surajgarh, District Lakhisarai. District RRT investigated the outbreak. House to house survey done. Cases treated at local health centre. Cases were in age group 5-15 years. Health education given regarding isolation and early treatment of cases."
2013,4,,,Munger,V Food Poisoning,20.0,0.0,,26/01/13,"Outbreak of loose motion, vomiting and abdominal pain reported from Village Badri Vishal, SC Chanduki, PHC/Block Sangrampur, District Munger due to consumption of contaminated stale food. Block health team investigated the outbreak. Cases treated locally. IEC done regarding safe food habits."
2013,4,2.,Gujarat,Jamnagar,Vi Acute Diarrhoeal Disease,11.0,0.0,,22/01/13,"Cases of loose motion and vomiting reported from Village/SC Bela, PHC Amran, Block Jodiya, District Jamnagar. Medical team investigated the outbreak. House to house survey done. Cases treated locally. 2 stool samples collected & sent to M.P. Shah Medical College Jamnagar which tested positive for E. coli. ORS packets and Chlorine tablets distributed in the locality. Chlorination of water sources done. Health education given regarding safe drinking water."
2013,4,,,Narmada,Vii Fever,46.0,0.0,,26/01/13,"Outbreak of fever with headache and back ache reported from Village Adarsh, PHC Jeshalpur, Block Nandod, District Narmada. Medical team investigated the outbreak. Active search for fever cases done. Cases treated at Civil Hospital Rajpipla. 2 serum samples collected and sent to SSG Vadodara; result awaited. IEC done."
2013,4,,Gujarat,Surat,Viii Measles,11.0,0.0,,19/01/13,"Cases of fever with rash and cough reported from Sumitra Basanskar Vidyalaya, Village/SC Anval, PHC Vaheval, Block Mahuva, District Surat. Medical team investigated the outbreak. House to house fever survey done. Cases treated symptomatically. Affected cases were children below 14 years of age. Health education given to parents and school authorities regarding isolation of cases."
2013,4,3.,Karnataka,Tumkur,Ix Food Poisoning,79.0,0.0,,22/01/13,"Outbreak of loose motion, vomiting and abdominal pain reported from Kittur Ranichennamma School, CHC/Block Pavagada, District Tumkur due to consumption of contaminated food in mid day meal. District RRT investigated the outbreak. Temporary medical camp organized. Cases treated symptomatically. Health education given regarding food hygiene."
2013,4,4.,Odisha,Jagatsinghpur,X Acute Diarrhoeal Disease,14.0,0.0,,24/01/13,"Cases of loose motion and vomiting reported from Village Trilochanpur, SC Dhinkia, Block Erasama, District Jagatsinghpur. Block health team investigated the outbreak. Cases treated at local health centre. Chlorination of water sources done. Disinfection of surrounding done in the affected area. IEC done regarding safe drinking water, hygiene and sanitation."
2013,4,,,Koraput,Xi Acute Diarrhoeal Disease,12.0,0.0,,22/01/13,"Cases of gastroenteritis reported from Village/SC Majhiguda, Block Boipariguda, District Koraput. District RRT investigated the outbreak. House to house survey done. Medicine and ORS packets given to cases. Chlorine tablets distributed in the community. Health education given. IEC done."
2013,4,5.,Tamil Nadu,Namakkal,Xii Food Poisoning,46.0,0.0,,22/01/13,"Outbreak of loose motion and vomiting reported from Village Marappanpalayam (Pudur Colony), SC Amen Elampill, PHC Jederpalayam, District Namakkal due to consumption of contaminated food (sambhar). Medical team investigated the outbreak. Cases treated at local health centre. IEC done regarding safe food habit."
2013,4,,,Ramanthapuram,Xiii Fever,15.0,0.0,,24/01/13,"Cases reported from Village Veerambal, SC Ilamchembur, PHC Melasirupothu, Block Kadaladi, District Ramanathapuram. District RRT investigated the outbreak. House to house fever survey done. Cases treated symptomatically. 15 blood smears and 6 serum samples collected and sent to MMC Madurai; result awaited. Anti-larval activities and fogging done in the affected area. IEC done."
2013,4,,,Virudhunagar,Xiv Fever,31.0,0.0,,22/01/13,"Outbreak of fever with arthalgia and myalgia reported from Village Chelliyapuram, SC Nathakulam, PHC/ Block Narikudi, District Virudhunagar. Active search for fever cases done. Cases treated at local health centre. 6 serum samples collected and sent to IVC&Z, Hosur; result awaited. Anti-larval activities and fogging done in the affected area."
2013,4,1.,Maharashtra,Latur,Xv Fever,7.0,1.0,,,"Cases reported from Village Chinchondi, PHC Ambulga, Block Nilanga, District Latur. Medical team investigated the outbreak. House to house fever survey done. Cases treated symptomatically. All 7 blood smears examined tested negative for malaria. Vector control measures undertaken. IEC done regarding preventive measures against vector borne diseases."
2013,4,,,,Xvi Fever,10.0,1.0,,,"Cases reported from Village Korali, PHC Kasar Balkunda, Block Nilanga, District Latur. Medical team investigated the outbreak. House to house fever survey done. Cases treated locally. All 10 blood smears collected tested negative for malaria. 1 death occurred in patient who was positive for malaria. Control measures undertaken. IEC done regarding preventive measures against vector borne diseases."
2013,4,2.,Tamil Nadu,Tirunelveli,Xvii Chikungunya,51.0,0.0,,,"Outbreak of fever with arthralgia reported from Village Anaithalaiyur, SC/PHC Gangaikondan, Block Manur, District Tirunelveli. District RRT investigated the outbreak. Active search for fever cases done. Temporary medical camp organized in the locality. Cases treated symptomatically. 21 blood smears collected which tested negative for malaria. Out of 8 serum samples collected and tested at ZET Tirunelveli, 7 samples were positive for Chikungunya. Anti-larval work activities and fogging done. IEC done."
2013,4,3.,West Bengal,Nadia,Xviii Chickenpox,24.0,0.0,,,"Outbreak of fever with rash reported from Village Sardarpara, SC Chandandaha, Block Ranaghat- I, District Nadia. District RRT and Block Health team investigated the outbreak. House to house survey done. Cases treated at local health centre. Health education given regarding isolation of cases."
2013,5,,Through Integrated Disease Surveillance Project (Idsp),,Through Integrated Disease Surveillance Project (Idsp),,,,,
2013,5,,5Th Week (28 January To 3 February) 2013,,5Th Week (28 January To 3 February) 2013,,,,,
2013,5,1.,Andhra Pradesh,Mahabubnagar,I. Food Poisoning,26.0,0.0,,31/01/13,"Outbreak of vomiting and abdominal pain reported from Village/SC Naganool, PHC Peddamudunoor, Block Nagarkurnool, District Mahabubnagar due to consumption of contaminated food (fried rice). District RRT investigated the outbreak. Medical camp organized in the locality. Medicine given to cases. Health education given regarding safe food habit."
2013,5,2.,Arunachal Pradesh,East Kameng,Ii. Acute Diarrhoeal Disease,29.0,2.0,,28/01/13,"Outbreak of gasteroenteritis reported from Seppa Town, District East Kameng. District RRT investigated the outbreak. House to house survey done. Cases treated at local health centre. Medicine and ORS packet given to cases. Chlorine tablets distributed in the locality. 2 deaths occurred in children below 1 year of age. IEC done regarding safe drinking water, hygiene and sanitation."
2013,5,3.,Assam,Kamrup R,Iii. Food Poisoning,45.0,0.0,,31/01/13,"Outbreak of loose motion, vomiting and abdominal pain reported from Villages Pachoria Maztol & Hawopara, SC Pachoria, PHC Hajo, District Kamrup R due to consumption of contaminated food ‘Prasad’ in religious festival (Magh Poornima). Medical team investigated the outbreak. Active search for cases done. Temporary medical camp organized in the locality. Cases treated symptomatically. 2 patients treated at GMCH Guwahati. 2 stool samples collected which tested negative for cholera. Health education given."
2013,5,4.,Karnataka,Gadag,Iv. Acute Diarrhoeal Disease,10.0,0.0,,31/01/13,"Cases of loose motion and vomiting reported from Village/PHC Nidagundi, Block Ron, District Gadag. Medical team investigated the outbreak. Cases treated at PHC Nidagundi. Chlorine tablets and ORS packets distributed in the community. IEC done."
2013,5,,,Tumkur,V. Chikunguny A,76.0,0.0,,24/01/13,"Cases reported from Village Doddahalli, PHC Y.N. Hosakote, Block Pavagada, District Tumkur. District RRT investigated the outbreak. House to house fever survey done. Temporary medical camp established in the community. Cases treated symptomatically. All 76 blood smears examined tested negative for malaria. Out of 5 serum samples collected, 2 samples were positive for Chikungunya. Fogging done in the affected area. IEC done."
2013,5,5.,Kerala,Pathanamthitta,Vi. Viral Hepatitis ?,33.0,0.0,,31/01/13,"Outbreak of jaundice reported from Village Arnmula, SC Neervilakam, PHC/Block Vallana, District Pathanamthitta. District RRT investigated the outbreak. House to house survey done. Cases treated locally. Sample not collected. Chlorination of water sources done. IEC done regarding safe drinking water, hygiene and sanitation."
2013,5,,,Wayanad,Vii. Food Poisoning,88.0,0.0,,28/01/13,"Outbreak of loose motion and vomiting reported from Village Bathery, SC PP unit, PHC Chetalayam, Block Pulpatty, District Wayanad due to consumption of contaminated food in religious function. Medical team investigated the outbreak. Cases treated at local health centre. IEC done regarding safe food habits."
2013,5,6.,Maharashtra,Thane,Viii. Fever,23.0,0.0,,28/01/13,"Outbreak of fever with body ache and joint pain reported from Village Nichole, SC Bhaveghar, PHC Khaniwalli, Block Wada, District Thane. District RRT investigated the outbreak. House to house fever survey done. Cases treated at PHC Khaniwalli. All blood smears collected tested negative for malaria. 5 serum samples collected which tested negative for Chikungunya and Dengue. Control measures undertaken."
2013,5,7.,Rajasthan,Alwar,Ix. Food Poisoning,48.0,0.0,,31/01/13,"Outbreak of loose motion, nausea, vomiting, and abdominal pain reported from Village Rampur Patan, SC Kheda Kalyanpur, PHC khokar, Block Kherli, District Alwar due to consumption of contaminated food in death ceremony. District RRT and Block health team investigated investigated the outbreak. House to house survey done. Cases treated at PHC Khokar. IEC done."
