year,week,url
2016,43,https://idsp.mohfw.gov.in/WriteReadData/l892s/432016.pdf
2016,44,https://idsp.mohfw.gov.in/WriteReadData/l892s/442016.pdf
2016,45,https://idsp.mohfw.gov.in/WriteReadData/l892s/452016.pdf
2016,46,https://idsp.mohfw.gov.in/WriteReadData/l892s/462016.pdf
2016,47,https://idsp.mohfw.gov.in/WriteReadData/l892s/472016.pdf
2016,48,https://idsp.mohfw.gov.in/WriteReadData/l892s/482016.pdf
2016,49,https://idsp.mohfw.gov.in/WriteReadData/l892s/492016.pdf
2016,50,https://idsp.mohfw.gov.in/WriteReadData/l892s/502016.pdf
2016,51,https://idsp.mohfw.gov.in/WriteReadData/l892s/512016.pdf
2016,52,https://idsp.mohfw.gov.in/WriteReadData/l892s/522016.pdf
2017,1,https://idsp.mohfw.gov.in/WriteReadData/l892s/16761928221487223715.pdf
2017,2,https://idsp.mohfw.gov.in/WriteReadData/l892s/1489553831487223752.pdf
2017,3,https://idsp.mohfw.gov.in/WriteReadData/l892s/6867458831488435370.pdf
2017,4,https://idsp.mohfw.gov.in/WriteReadData/l892s/15366628751488435411.pdf
2017,5,https://idsp.mohfw.gov.in/WriteReadData/l892s/60441234271488435446.pdf
2017,6,https://idsp.mohfw.gov.in/WriteReadData/l892s/77987201021489753657.pdf
2017,7,https://idsp.mohfw.gov.in/WriteReadData/l892s/072017.pdf
2017,8,https://idsp.mohfw.gov.in/WriteReadData/l892s/082017.pdf
2017,9,https://idsp.mohfw.gov.in/WriteReadData/l892s/092017.pdf
2017,10,https://idsp.mohfw.gov.in/WriteReadData/l892s/102017.pdf
2017,11,https://idsp.mohfw.gov.in/WriteReadData/l892s/112017.pdf
2017,12,https://idsp.mohfw.gov.in/WriteReadData/l892s/122017.pdf
2017,13,https://idsp.mohfw.gov.in/WriteReadData/l892s/132017.pdf
2017,14,https://idsp.mohfw.gov.in/WriteReadData/l892s/142017.pdf
2017,15,https://idsp.mohfw.gov.in/WriteReadData/l892s/152017.pdf
2017,16,https://idsp.mohfw.gov.in/WriteReadData/l892s/162017.pdf
2017,17,https://idsp.mohfw.gov.in/WriteReadData/l892s/172017.pdf
2017,18,https://idsp.mohfw.gov.in/WriteReadData/l892s/182017.pdf
2017,19,https://idsp.mohfw.gov.in/WriteReadData/l892s/192017.pdf
2017,20,https://idsp.mohfw.gov.in/WriteReadData/l892s/202017.pdf
2017,21,https://idsp.mohfw.gov.in/WriteReadData/l892s/212017.pdf
2017,22,https://idsp.mohfw.gov.in/WriteReadData/l892s/222017.pdf
2017,23,https://idsp.mohfw.gov.in/WriteReadData/l892s/232017.pdf
2017,24,https://idsp.mohfw.gov.in/WriteReadData/l892s/242017.pdf
2017,25,https://idsp.mohfw.gov.in/WriteReadData/l892s/252017.pdf
2017,26,https://idsp.mohfw.gov.in/WriteReadData/l892s/262017.pdf
2017,27,https://idsp.mohfw.gov.in/WriteReadData/l892s/272017.pdf
2017,28,https://idsp.mohfw.gov.in/WriteReadData/l892s/282017.pdf
2017,29,https://idsp.mohfw.gov.in/WriteReadData/l892s/292017.pdf
2017,30,https://idsp.mohfw.gov.in/WriteReadData/l892s/302017.pdf
2017,31,https://idsp.mohfw.gov.in/WriteReadData/l892s/312017.pdf
2017,32,https://idsp.mohfw.gov.in/WriteReadData/l892s/322017.pdf
2017,33,https://idsp.mohfw.gov.in/WriteReadData/l892s/332017.pdf
2017,34,https://idsp.mohfw.gov.in/WriteReadData/l892s/342017.pdf
2017,35,https://idsp.mohfw.gov.in/WriteReadData/l892s/352017.pdf
2017,36,https://idsp.mohfw.gov.in/WriteReadData/l892s/362017.pdf
2017,37,https://idsp.mohfw.gov.in/WriteReadData/l892s/372017.pdf
2017,38,https://idsp.mohfw.gov.in/WriteReadData/l892s/382017.pdf
2017,39,https://idsp.mohfw.gov.in/WriteReadData/l892s/392017.pdf
2017,40,https://idsp.mohfw.gov.in/WriteReadData/l892s/402017.pdf
2017,41,https://idsp.mohfw.gov.in/WriteReadData/l892s/412017.pdf
2017,42,https://idsp.mohfw.gov.in/WriteReadData/l892s/422017.pdf
2017,43,https://idsp.mohfw.gov.in/WriteReadData/l892s/432017.pdf
2017,44,https://idsp.mohfw.gov.in/WriteReadData/l892s/442017.pdf
2017,45,https://idsp.mohfw.gov.in/WriteReadData/l892s/452017.pdf
2017,46,https://idsp.mohfw.gov.in/WriteReadData/l892s/462017.pdf
2017,47,https://idsp.mohfw.gov.in/WriteReadData/l892s/472017.pdf
2017,48,https://idsp.mohfw.gov.in/WriteReadData/l892s/482017.pdf
2017,49,https://idsp.mohfw.gov.in/WriteReadData/l892s/492017.pdf
2017,50,https://idsp.mohfw.gov.in/WriteReadData/l892s/502017.pdf
2017,51,https://idsp.mohfw.gov.in/WriteReadData/l892s/512017.pdf
2017,52,https://idsp.mohfw.gov.in/WriteReadData/l892s/522017.pdf
2018,1,https://idsp.mohfw.gov.in/WriteReadData/l892s/012018.pdf
2018,2,https://idsp.mohfw.gov.in/WriteReadData/l892s/022018.pdf
2018,3,https://idsp.mohfw.gov.in/WriteReadData/l892s/032018.pdf
2018,4,https://idsp.mohfw.gov.in/WriteReadData/l892s/042018.pdf
2018,5,https://idsp.mohfw.gov.in/WriteReadData/l892s/052018.pdf
2018,6,https://idsp.mohfw.gov.in/WriteReadData/l892s/062018.pdf
2018,7,https://idsp.mohfw.gov.in/WriteReadData/l892s/072018.pdf
2018,8,https://idsp.mohfw.gov.in/WriteReadData/l892s/082018.pdf
2018,9,https://idsp.mohfw.gov.in/WriteReadData/l892s/092018.pdf
2018,10,https://idsp.mohfw.gov.in/WriteReadData/l892s/102018.pdf
2018,11,https://idsp.mohfw.gov.in/WriteReadData/l892s/112018.pdf
2018,12,https://idsp.mohfw.gov.in/WriteReadData/l892s/122018.pdf
2018,13,https://idsp.mohfw.gov.in/WriteReadData/l892s/132018.pdf
2018,14,https://idsp.mohfw.gov.in/WriteReadData/l892s/142018.pdf
2018,15,https://idsp.mohfw.gov.in/WriteReadData/l892s/152018.pdf
2018,16,https://idsp.mohfw.gov.in/WriteReadData/l892s/162018.pdf
2018,17,https://idsp.mohfw.gov.in/WriteReadData/l892s/172018.pdf
2018,18,https://idsp.mohfw.gov.in/WriteReadData/l892s/182018.pdf
2018,19,https://idsp.mohfw.gov.in/WriteReadData/l892s/192018.pdf
2018,20,https://idsp.mohfw.gov.in/WriteReadData/l892s/202018.pdf
2018,21,https://idsp.mohfw.gov.in/WriteReadData/l892s/212018.pdf
2018,22,https://idsp.mohfw.gov.in/WriteReadData/l892s/222018.pdf
2018,23,https://idsp.mohfw.gov.in/WriteReadData/l892s/232018.pdf
2018,24,https://idsp.mohfw.gov.in/WriteReadData/l892s/242018.pdf
2018,25,https://idsp.mohfw.gov.in/WriteReadData/l892s/252018.pdf
2018,26,https://idsp.mohfw.gov.in/WriteReadData/l892s/262018.pdf
2018,27,https://idsp.mohfw.gov.in/WriteReadData/l892s/272018.pdf
2018,28,https://idsp.mohfw.gov.in/WriteReadData/l892s/282018.pdf
2018,29,https://idsp.mohfw.gov.in/WriteReadData/l892s/292018.pdf
2018,30,https://idsp.mohfw.gov.in/WriteReadData/l892s/302018.pdf
2018,31,https://idsp.mohfw.gov.in/WriteReadData/l892s/312018.pdf
2018,32,https://idsp.mohfw.gov.in/WriteReadData/l892s/322018.pdf
2018,33,https://idsp.mohfw.gov.in/WriteReadData/l892s/332018.pdf
2018,34,https://idsp.mohfw.gov.in/WriteReadData/l892s/342018.pdf
2018,35,https://idsp.mohfw.gov.in/WriteReadData/l892s/352018.pdf
2018,36,https://idsp.mohfw.gov.in/WriteReadData/l892s/362018.pdf
2018,37,https://idsp.mohfw.gov.in/WriteReadData/l892s/372018.pdf
2018,38,https://idsp.mohfw.gov.in/WriteReadData/l892s/382018.pdf
2018,39,https://idsp.mohfw.gov.in/WriteReadData/l892s/392018.pdf
2018,40,https://idsp.mohfw.gov.in/WriteReadData/l892s/402018.pdf
2018,41,https://idsp.mohfw.gov.in/WriteReadData/l892s/412018.pdf
2018,42,https://idsp.mohfw.gov.in/WriteReadData/l892s/422018.pdf
2018,43,https://idsp.mohfw.gov.in/WriteReadData/l892s/432018.pdf
2018,44,https://idsp.mohfw.gov.in/WriteReadData/l892s/442018.pdf
2018,45,https://idsp.mohfw.gov.in/WriteReadData/l892s/452018.pdf
2018,46,https://idsp.mohfw.gov.in/WriteReadData/l892s/462018.pdf
2018,47,https://idsp.mohfw.gov.in/WriteReadData/l892s/472018.pdf
2018,48,https://idsp.mohfw.gov.in/WriteReadData/l892s/482018.pdf
2018,49,https://idsp.mohfw.gov.in/WriteReadData/l892s/492018.pdf
2018,50,https://idsp.mohfw.gov.in/WriteReadData/l892s/502018.pdf
2018,51,https://idsp.mohfw.gov.in/WriteReadData/l892s/512018.pdf
